NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted
NCT00680654,Interaction Study in Patients With Pulmonary Hypertension and Stable Treatment of Sildenafil 20 mg TID,https://clinicaltrials.gov/study/NCT00680654,,COMPLETED,NO,"DRUG: Riociguat (Adempas, BAY63-2521)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,7,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2008-10,2009-08,2009-11,2008-05-20,,2015-12-16
NCT00678704,BAY38-9456 - Pivotal Trial for Diabetes Patient,https://clinicaltrials.gov/study/NCT00678704,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo",Bayer,,MALE,ADULT,PHASE3,790,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2004-01,,2004-11,2008-05-15,,2014-12-19
NCT00674115,A Pharmacodynamic Study Comparing Zegerid® and Prilosec OTC® (CL2007-17 )(P07813)(COMPLETED),https://clinicaltrials.gov/study/NCT00674115,,COMPLETED,YES,DRUG: Omeprazole/sodium bicarbonate|DRUG: omeprazole magnesium|DRUG: sodium bicarbonate,Bayer,"Bausch Health Americas, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE3,60,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: ",2008-04,2008-06,2008-06,2008-05-07,2010-04-30,2015-03-11
NCT00673686,Study to Investigate the Effect of Missed Pills on Follicular Development in Two Application Regimens of SH T 00186 D,https://clinicaltrials.gov/study/NCT00673686,,COMPLETED,NO,"DRUG: YAZ (DRSP 3 mg/EE 0.02 mg, BAY86-5300)|DRUG: Yasminelle (SH T 00186 D)",Bayer,,FEMALE,ADULT,PHASE2,105,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2004-05,2005-02,2005-02,2008-05-07,,2014-10-13
NCT00670215,"BAYQ3939, 1000 mg Tablet in Transrectal Needle Biopsies of the Prostate (TRNBP) - Infection Prophylaxis",https://clinicaltrials.gov/study/NCT00670215,,COMPLETED,NO,DRUG: Ciprofloxacin single dose|DRUG: Ciprofloxacin triple dose,Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE3,497,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2004-04,,2004-10,2008-05-01,,2014-12-19
NCT00668122,Efficacy and Safety of CIPRO XR Versus CIPRO IR in Patients With Complicated Urinary Tract Infections,https://clinicaltrials.gov/study/NCT00668122,EMERON,COMPLETED,NO,"DRUG: Cipro XR (Ciprofloxacin, BAYQ3939)|DRUG: Cipro IR (Ciprofloxacin, BAYQ3939)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE3,212,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2004-03,,2006-01,2008-04-28,,2009-06-30
NCT00668109,"Assessment of Efficacy of Vardenafil in Subjects With Erectile Dysfunction and Diabetes, Hypertension or Hyperlipidemia",https://clinicaltrials.gov/study/NCT00668109,LUTECIA,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Tadalafil",Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE3,614,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2003-12,2004-06,2004-06,2008-04-28,,2014-12-23
NCT00668057,BAY38-9456 (Vardenafil HCL Tablet) in ED Treatment for China Registration.,https://clinicaltrials.gov/study/NCT00668057,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo|DRUG: Placebo|DRUG: Placebo",Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE3,624,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2002-12,2003-09,2003-09,2008-04-28,,2015-03-06
NCT00668031,Effect of Aprotinin on Transfusion Requirements and Blood Loss in Patients Undergoing Elective Primary Total Hip Replacement,https://clinicaltrials.gov/study/NCT00668031,,COMPLETED,NO,"DRUG: Trasylol (Aprotinin, BAYA0128)|DRUG: Placebo",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE3,359,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2005-02,2006-01,2006-01,2008-04-28,,2014-12-30
NCT00668044,Ciprofloxacin on Burned Patients,https://clinicaltrials.gov/study/NCT00668044,,COMPLETED,NO,DRUG: Ciprofloxacin (BAYO9867)|DRUG: Ciprofloxacin (BAYO9867),Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE3,18,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2002-11,2003-11,2003-11,2008-04-28,,2009-10-27
NCT00668018,Assess Efficacy of Vardenafil 10mg in Erectile Dysfunction Within Intake of 6 Hours,https://clinicaltrials.gov/study/NCT00668018,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)",Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE3,887,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2003-01,2003-10,2003-10,2008-04-28,,2014-12-23
NCT00668005,Evaluating the Efficacy and Safety of Vardenafil in Subjects With Erectile Dysfunction and Hypertension,https://clinicaltrials.gov/study/NCT00668005,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo",Bayer,GlaxoSmithKline,MALE,"ADULT, OLDER_ADULT",PHASE3,388,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2003-02,,2003-09,2008-04-28,,2014-12-16
NCT00667537,PK in Pts With HRPC & Skeletal Metastes,https://clinicaltrials.gov/study/NCT00667537,,COMPLETED,NO,"DRUG: Radium-223 chloride (Xofigo®, BAY88-8223) injection",Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE1,6,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2007-07,2008-12,2008-12,2008-04-28,,2015-12-14
NCT00667199,"BAY88-8223, Does Response Study in HRPC Patients",https://clinicaltrials.gov/study/NCT00667199,,COMPLETED,NO,DRUG: Radium-223 dichloride (BAY88-8223),Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE2,100,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2005-05-30,2008-04-01,2009-10-06,2008-04-28,,2023-04-19
NCT00666809,Vardenafil in Tinnitus,https://clinicaltrials.gov/study/NCT00666809,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo",Bayer,,ALL,ADULT,PHASE2,43,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2006-10,,2007-05,2008-04-25,,2014-12-09
NCT00665496,A Study to Investigate the Time to Onset of Action of 10 mg and 20 mg of Vardenafil Compared to Placebo in Males With Erectile Dysfunction,https://clinicaltrials.gov/study/NCT00665496,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo",Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE3,732,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2003-06,,2003-11,2008-04-24,,2014-12-17
NCT00664326,A Phase II Uncontrolled Study of BAY73-4506 in Previously Untreated Patients With Metastatic or Unresectable RCC,https://clinicaltrials.gov/study/NCT00664326,,COMPLETED,YES,"DRUG: Regorafenib (Stivarga, BAY73-4506)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,49,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2008-04-30,2009-05-31,2019-04-02,2008-04-22,2012-11-28,2021-01-29
NCT00663741,Sorafenib Gastric Cancer Asian Phase I Study,https://clinicaltrials.gov/study/NCT00663741,,COMPLETED,NO,"DRUG: Sorafenib (Nexavar, BAY43-9006)|DRUG: Sorafenib (Nexavar, BAY43-9006)|DRUG: Sorafenib (Nexavar, BAY43-9006)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,13,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2008-05,2010-03,2010-04,2008-04-22,,2013-06-11
NCT00661700,"A Double-blind ""Preferred"" Vardenafil Dose Study of QoL and Functional Outcomes in Males With Erectile Dysfunction",https://clinicaltrials.gov/study/NCT00661700,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo",Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE3,611,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2003-04,2004-05,2004-05,2008-04-18,,2014-11-18
NCT00661596,"Assessment of Efficacy of Vardenafil, Influence on Self-esteem and Self-confidence in Subjects With Erectile Dysfunction",https://clinicaltrials.gov/study/NCT00661596,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo",Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE3,129,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2003-05,2004-01,2004-01,2008-04-18,,2014-12-30
NCT00661375,BAY43-9006 Phase II Study for Renal Cell Carcinoma,https://clinicaltrials.gov/study/NCT00661375,,COMPLETED,NO,"DRUG: Nexavar (Sorafenib, BAY43-9006)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,131,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2004-11,2006-03,2006-03,2008-04-18,,2014-12-25
NCT00661297,"Study Evaluating the Efficacy, Safety, and Reliability of Vardenafil",https://clinicaltrials.gov/study/NCT00661297,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo",Bayer,GlaxoSmithKline,MALE,"ADULT, OLDER_ADULT",PHASE3,523,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2003-06,,2004-01,2008-04-18,,2014-12-02
NCT00661219,Depression Related Improvement With Vardenafil for Erectile Response,https://clinicaltrials.gov/study/NCT00661219,DRIVER,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo",Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE3,280,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2002-12,2003-11,2003-11,2008-04-18,,2014-12-23
NCT00661180,Open Label Phase II Study of BAY 43-9006 in Chronic Myelogenous Leukemia (CML) Patients Resistant to Gleevec,https://clinicaltrials.gov/study/NCT00661180,ORACLE,COMPLETED,NO,"DRUG: Nexavar (Sorafenib, BAY43-9006)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,10,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2004-01,2005-02,2005-02,2008-04-18,,2014-12-23
NCT00661115,To Investigate the Efficacy and Safety of Vardenafil in Men With Erectile Dysfunction.,https://clinicaltrials.gov/study/NCT00661115,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo",Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE3,173,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2003-05,2004-02,2004-02,2008-04-18,,2014-12-16
NCT00658177,Study Evaluating the Efficacy and Safety of Flexible-dose Vardenafil in Subjects With Erectile Dysfunction,https://clinicaltrials.gov/study/NCT00658177,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo",Bayer,GlaxoSmithKline,MALE,"ADULT, OLDER_ADULT",PHASE3,463,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2003-06,,2004-02,2008-04-14,,2014-12-02
NCT00657839,Assessment of Efficacy of Vardenafil in the Treatment of Subjects With Symptomatic Benign Prostatic Hyperplasia,https://clinicaltrials.gov/study/NCT00657839,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo",Bayer,,MALE,ADULT,PHASE2,222,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2005-10,,2006-06,2008-04-14,,2014-10-28
NCT00657644,Efficacy and Safety of Vardenafil in Men With Erectile Dysfunction,https://clinicaltrials.gov/study/NCT00657644,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)",Bayer,Amgen,MALE,"ADULT, OLDER_ADULT",PHASE3,130,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2003-08,2004-03,2004-03,2008-04-14,,2014-12-25
NCT00657254,Extension Program for Bay 43-9006,https://clinicaltrials.gov/study/NCT00657254,,COMPLETED,NO,"DRUG: Nexavar (Sorafenib, BAY43-9006)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,9,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2002-12,2005-06,2005-06,2008-04-14,,2014-12-23
NCT00657033,Study to Investigate the Efficacy and Safety of Vardenafil Flexible Dose Versus Placebo in Males With Erectile Dysfunction,https://clinicaltrials.gov/study/NCT00657033,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo",Bayer,GlaxoSmithKline,MALE,"ADULT, OLDER_ADULT",PHASE3,229,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2003-10,,2004-08,2008-04-14,,2013-10-14
NCT00656981,Evaluate Safety and Efficacy of an Oral Contraceptive (OC) Preparation Versus Placebo for 6 Treatment Cycles in Women With Moderate Acne,https://clinicaltrials.gov/study/NCT00656981,,COMPLETED,NO,"DRUG: YAZ (DRSP 3 mg/EE 0.02 mg, BAY86-5300)|DRUG: Placebo",Bayer,,FEMALE,"CHILD, ADULT",PHASE3,541,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2003-01,,2004-06,2008-04-14,,2014-12-30
NCT00656188,Placebo-controlled Study Evaluating the Efficacy and Safety of Vardenafil in Subjects With Erectile Dysfunction,https://clinicaltrials.gov/study/NCT00656188,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)|DRUG: Placebo",Bayer,GlaxoSmithKline,MALE,"ADULT, OLDER_ADULT",PHASE2|PHASE3,463,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2002-10,2003-05,2003-05,2008-04-10,,2013-10-10
NCT00655629,"Vardenafil Orodispersible Tablet (ODT) Versus Placebo in Males With Erectile Dysfunction, 50% of Whom Are to be 65 Years or Older.",https://clinicaltrials.gov/study/NCT00655629,,COMPLETED,YES,"DRUG: Vardenafil ODT (STAXYN, BAY38-9456)|DRUG: Placebo",Bayer,GlaxoSmithKline|Schering-Plough,MALE,"ADULT, OLDER_ADULT",PHASE3,339,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2008-04,2009-02,2009-02,2008-04-10,2011-01-21,2014-08-01
NCT00654914,A Study to Assess the Efficacy and Safety of Vardenafil in the Treatment of Male Patients With Erectile Dysfunction,https://clinicaltrials.gov/study/NCT00654914,VIS,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)",Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE3,527,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2003-05,2004-02,2004-02,2008-04-09,,2014-12-23
NCT00654680,Evaluating the Efficacy and Safety of Vardenafil in Patients Erectile Dysfunction Solely Secondary to Spinal Cord Injury,https://clinicaltrials.gov/study/NCT00654680,,COMPLETED,NO,"DRUG: Vardenafil (Levitra, BAY38-9456)|DRUG: Placebo",Bayer,GlaxoSmithKline,MALE,"ADULT, OLDER_ADULT",PHASE3,418,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2002-10,2004-01,2004-01,2008-04-09,,2013-09-30
NCT00653614,Cycle Control and Safety of E2-DRSP,https://clinicaltrials.gov/study/NCT00653614,,COMPLETED,NO,DRUG: E2/DRSP (BAY 86-4891) dose 1 (SH T04984E)|DRUG: E2/DRSP (BAY 86-4891) dose 2 (80458739)|DRUG: E2/DRSP (BAY 86-4891) dose 3 (80458755)|DRUG: E2/DRSP (BAY 86-4891) dose 4 (80458720)|DRUG: E2/DRSP (BAY 86-4891) dose 5 (80458712)|DRUG: DRSP (ZK 30595) dose 1 (SH T04984F)|DRUG: DRSP (ZK 30595) dose 2 (80458690)|DRUG: Placebo,Bayer,,FEMALE,ADULT,PHASE2,635,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2008-03,2009-06,2009-06,2008-04-07,,2015-04-23
NCT00652418,Magnevist (SH L 451A) Intra-individual Dose Comparison Study in Magnetic Resonance Angiography,https://clinicaltrials.gov/study/NCT00652418,,COMPLETED,NO,"DRUG: Gadopentetate dimeglumine (Magnevist, BAY86-4882, SH L 451A)|DRUG: Gadopentetate dimeglumine (Magnevist, BAY86-4882, SH L 451A)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,12,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: DIAGNOSTIC,2004-07,2004-10,2004-10,2008-04-03,,2013-10-14
NCT00652262,BAY38-9456 - Supportive Trial for Spinal Injury,https://clinicaltrials.gov/study/NCT00652262,,COMPLETED,NO,"DRUG: Levitra (Vardenafil, BAY38-9456)",Bayer,,MALE,ADULT,PHASE3,32,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2004-03,,2004-11,2008-04-03,,2014-12-23
NCT00651599,Treatment of Vasomotor Symptoms in Korean Post Menopausal Women,https://clinicaltrials.gov/study/NCT00651599,,COMPLETED,NO,"DRUG: Angeliq (Drospirenone/17ß-estradiol, BAY86-4891)|DRUG: Placebo",Bayer,,FEMALE,"ADULT, OLDER_ADULT",PHASE3,90,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2004-07,,2005-05,2008-04-03,,2014-12-31
NCT00651469,Evaluate Safety and Efficacy of an OC Preparation vs Placebo for 6 Treatment Cycles in Women With Moderate Acne.,https://clinicaltrials.gov/study/NCT00651469,,COMPLETED,NO,"DRUG: YAZ (DRSP 3 mg/EE 0.02 mg, BAY86-5300)|DRUG: Placebo",Bayer,,FEMALE,"CHILD, ADULT",PHASE3,534,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2003-01,,2004-07,2008-04-02,,2014-12-30
NCT00645788,Study to Evaluate the Safety and Efficacy of Ciprofloxacin (Inhaled) in Patients With Cystic Fibrosis,https://clinicaltrials.gov/study/NCT00645788,,COMPLETED,YES,"DRUG: Ciprofloxacin (Cipro Inhale, BAYQ3939)|DRUG: Placebo|DRUG: Ciprofloxacin (Cipro Inhale, BAYQ3939)|DRUG: Placebo",Bayer,Novartis,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,288,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2008-05,2011-01,2011-01,2008-03-28,2012-07-03,2014-06-09
NCT00640315,Single Dose Study in Patients With Chronic Obstructive Pulmonary Disease (COPD) Associated Pulmonary Hypertension.,https://clinicaltrials.gov/study/NCT00640315,,COMPLETED,YES,"DRUG: Riociguat (Adempas, BAY63-2521) 1.0 mg|DRUG: Riociguat (Adempas, BAY63-2521) 2.5 mg",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,23,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2008-08,2009-09,2009-09,2008-03-21,2014-02-28,2016-12-28
NCT00637377,Vascular Endothelial Growth Factor (VEGF) Trap-Eye: Investigation of Efficacy and Safety in Wet Age-Related Macular Degeneration (AMD),https://clinicaltrials.gov/study/NCT00637377,VIEW 2,COMPLETED,YES,"DRUG: Ranibizumab|BIOLOGICAL: Aflibercept Injection (EYLEA, VEGF Trap-Eye, BAY86-5321)|BIOLOGICAL: Aflibercept Injection (EYLEA, VEGF Trap-Eye, BAY86-5321)|BIOLOGICAL: Aflibercept Injection (EYLEA, VEGF Trap-Eye, BAY86-5321)",Bayer,Regeneron Pharmaceuticals,ALL,"ADULT, OLDER_ADULT",PHASE3,1240,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2008-04,2010-09,2011-08,2008-03-18,2012-01-23,2014-12-12
NCT00631969,Vardenafil ODT Versus Placebo in Males With Erectile Dysfunction,https://clinicaltrials.gov/study/NCT00631969,,COMPLETED,YES,"DRUG: Vardenafil ODT (STAXYN, BAY38-9456)|DRUG: Placebo",Bayer,GlaxoSmithKline|Schering-Plough,MALE,"ADULT, OLDER_ADULT",PHASE3,362,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2008-04,2009-01,2009-01,2008-03-10,2011-01-21,2014-12-30
NCT00631124,"A Study to Evaluate Inhibition of Ovulation of Two Oral Estrogen/Progestogen Regimens in Healthy, Young Females Over a Period of 3 Treatment Cycles",https://clinicaltrials.gov/study/NCT00631124,,COMPLETED,NO,DRUG: BAY86-4891 (Estradiol / Drospirenone)|DRUG: BAY86-4891 (Estradiol / Drospirenone),Bayer,,FEMALE,ADULT,PHASE2,103,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2008-02,2008-10,2008-12,2008-03-07,,2014-12-02
NCT00629837,Pharmacokinetics and Safety of a Single Intravenous Infusion of BAY 79-4980,https://clinicaltrials.gov/study/NCT00629837,,COMPLETED,NO,"BIOLOGICAL: Recomb. Factor VIII (Kogenate FS Liposome, BAY79-4980)|BIOLOGICAL: Recomb. Factor VIII (Kogenate FS Liposome, BAY79-4980)|BIOLOGICAL: Recombinant Factor VIII (Kogenate FS, BAY14-2222)|BIOLOGICAL: Recombinant Factor VIII (Kogenate FS, BAY14-2222)",Bayer,,MALE,"CHILD, ADULT",PHASE1,27,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2005-09,,2006-03,2008-03-06,,2014-11-18
NCT00625378,Sorafenib Long Term Extension Program,https://clinicaltrials.gov/study/NCT00625378,STEP,COMPLETED,YES,"DRUG: Sorafenib (Nexavar, BAY43-9006)",Bayer,ICON Clinical Research,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,206,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2007-12-21,2021-09-24,2021-09-24,2008-02-28,2022-09-01,2022-09-01
NCT00624130,Yasmin 20 Cycle Control - Yasmin 20 Versus Mercilon in Healthy Female Volunteers,https://clinicaltrials.gov/study/NCT00624130,,COMPLETED,NO,DRUG: Yasmin 20|DRUG: Mercilon,Bayer,,FEMALE,ADULT,PHASE3,453,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2004-03,,2005-06,2008-02-26,,2014-12-31
NCT00623480,Trial to Evaluate the Effect of Secondary Prophylaxis With rFVIII Therapy in Severe Hemophilia A Adult and/or Adolescent Subjects Compared to That of Episodic Treatment,https://clinicaltrials.gov/study/NCT00623480,SPINART,COMPLETED,YES,"BIOLOGICAL: Recombinant Factor VIII (Kogenate FS, BAY14-2222)|BIOLOGICAL: Recombinant Factor VIII (Kogenate FS, BAY14-2222)",Bayer,,MALE,"CHILD, ADULT",PHASE3,84,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2008-03,2011-09,2013-11,2008-02-26,2013-08-07,2014-11-17
